epoch,train_loss,train_acc1,val_loss,val_acc1
1,3.943859839630127,11.514,3.6824978897094724,16.81
2,3.52673421836853,20.238,3.3859253566741945,24.48
3,3.2747143296813963,25.862,3.2254524692535402,27.43
4,3.0949700067901613,30.458,3.0453327068328857,32.54
5,2.947644047317505,34.196,2.936815818786621,35.17
6,2.8286391429138185,37.248,2.90084268989563,36.27
7,2.7260101891326904,40.2,2.786014770126343,39.49
8,2.631666022644043,42.618,2.7514094837188723,40.49
9,2.542178126525879,45.18,2.641524863052368,43.53
10,2.465893640060425,47.414,2.6102818729400634,44.95
11,2.394506084136963,49.646,2.5880475967407226,45.66
12,2.3307177454376222,51.554,2.500746044921875,47.8
13,2.2681216163635254,53.722,2.4886251277923583,48.45
14,2.218948852081299,55.01,2.453799603652954,49.28
15,2.172509169616699,56.504,2.4480034172058107,49.83
16,2.131786598739624,57.738,2.423989421081543,50.1
17,2.09816948638916,59.17,2.411248805999756,50.75
18,2.0780326753234863,59.612,2.397000136184692,51.03
19,2.0598638336181643,60.042,2.39606662940979,50.86
20,2.049901283340454,60.698,2.393623672866821,50.91
